Datum;Tid;Torkel Knutssonsg;Marsta;Norr Malma;Högdalen;Null
20-05-06;00:00;50.3674;58.6238;66.3635;54.4773;
20-05-07;00:00;44.2202;49.3527;63.9115;48.1412;
20-05-08;00:00;56.1667;55.3532;62.5483;60.2227;
20-05-09;00:00;46.9738;46.4674;55.4857;49.0449;
20-05-10;00:00;72.4415;80.7959;75.8922;73.8521;
20-05-11;00:00;59.249;67.7089;69.6873;60.4923;
20-05-12;00:00;64.5834;74.4948;68.4817;63.8555;
20-05-13;00:00;79.1349;78.8521;85.4927;84.3661;
20-05-14;00:00;59.3872;71.3573;81.8998;68.8584;
20-05-15;00:00;57.3028;62.4536;67.127;61.4027;
20-05-16;00:00;51.2563;65.4183;82.5309;52.6241;
20-05-17;00:00;58.1549;68.0273;71.2764;59.399;
20-05-18;00:00;65.9996;74.4622;78.2859;69.3536;
20-05-19;00:00;65.6888;65.8871;76.192;69.9137;
20-05-20;00:00;54.6359;57.0567;61.5997;58.2893;
20-05-21;00:00;44.4903;48.848;57.3079;50.1094;
20-05-22;00:00;36.4609;39.5246;52.7596;44.3866;
20-05-23;00:00;65.7571;69.8826;69.1588;68.5416;
20-05-24;00:00;68.1624;71.9468;74.9645;71.1368;
20-05-25;00:00;70.7419;72.1556;74.4653;69.2632;
20-05-26;00:00;50.2556;59.7379;61.6511;54.1348;
20-05-27;00:00;64.2196;72.5653;71.7135;64.7717;
20-05-28;00:00;56.3748;59.033;65.0835;58.9829;
20-05-29;00:00;54.6255;60.3492;65.9941;57.8105;
20-05-30;00:00;53.3536;60.4205;66.7947;53.7364;
20-05-31;00:00;44.7866;54.7565;56.0315;44.5368;
20-06-01;00:00;38.5723;50.371;51.5806;41.6281;
20-06-02;00:00;48.862;57.6499;57.7426;52.0209;
20-06-03;00:00;54.0616;56.2696;63.3256;55.8755;
20-06-04;00:00;67.093;65.8629;72.6191;66.5626;
20-06-05;00:00;81.3665;71.1552;79.8357;81.2643;
20-06-06;00:00;85.3347;85.8998;91.0453;87.5499;
20-06-07;00:00;55.0601;61.0289;62.2395;58.1326;
20-06-08;00:00;53.5253;64.8229;66.8396;57.6524;
20-06-09;00:00;51.1583;73.0303;70.0321;54.9201;
20-06-10;00:00;43.8914;54.1671;57.4174;47.2521;
20-06-11;00:00;40.4462;44.7577;51.9925;41.1191;
20-06-12;00:00;51.3439;53.5347;64.5419;50.9492;
20-06-13;00:00;41.7255;52.1442;55.9599;42.8838;
20-06-14;00:00;40.569;51.6251;55.0056;40.1528;
20-06-15;00:00;40.8667;51.4969;55.4592;44.3273;
20-06-16;00:00;75.0842;72.6864;83.5829;78.8029;
20-06-17;00:00;84.5332;96.0968;92.6344;86.4508;
20-06-18;00:00;67.4553;75.8059;74.9844;72.9493;
20-06-19;00:00;56.66;69.7039;72.6366;59.7401;
20-06-20;00:00;63.9641;74.5747;71.6993;63.4153;
20-06-21;00:00;50.7748;66.8958;63.6722;49.566;
20-06-22;00:00;54.9861;59.9456;63.8868;57.2225;
20-06-23;00:00;51.8048;64.3585;65.137;56.7804;
20-06-24;00:00;47.2128;57.5122;64.624;51.121;
20-06-25;00:00;42.9911;56.0968;60.4176;49.7841;
20-06-26;00:00;48.9012;52.9623;57.3967;53.132;
20-06-27;00:00;47.1893;57.018;58.9644;53.593;
20-06-28;00:00;59.1072;72.0995;69.9965;62.5264;
20-06-29;00:00;64.0078;73.1033;76.892;68.1473;
20-06-30;00:00;66.1688;79.9553;81.413;70.0797;
20-07-01;00:00;69.323;74.6559;83.0983;71.3998;
20-07-02;00:00;62.4014;77.9834;86.9365;65.1063;
20-07-03;00:00;47.687;64.374;64.1736;49.9013;
20-07-04;00:00;74.4443;79.8765;84.2365;77.9377;
20-07-05;00:00;83.8684;89.6049;89.2803;86.0225;
20-07-06;00:00;61.2252;71.0991;71.0463;64.3499;
20-07-07;00:00;60.9935;68.1545;67.9541;63.9958;
20-07-08;00:00;73.9342;74.8069;77.4081;79.2234;
20-07-09;00:00;58.8386;63.7692;75.5308;63.6133;
20-07-10;00:00;66.8855;73.9919;76.8915;69.9617;
20-07-11;00:00;73.465;78.5077;81.2784;77.6559;
20-07-12;00:00;69.5219;82.9536;85.0596;74.0431;
20-07-13;00:00;70.7583;74.8073;86.3231;74.4452;
20-07-14;00:00;67.8606;78.4019;78.7738;71.3038;
20-07-15;00:00;72.6091;81.7295;81.2703;75.126;
20-07-16;00:00;61.9124;76.5541;78.5386;64.2002;
20-07-17;00:00;49.2985;64.9681;64.0651;53.8704;
20-07-18;00:00;58.8911;71.0879;67.8427;62.6031;
20-07-19;00:00;57.7661;65.5602;66.2662;61.8251;
20-07-20;00:00;71.1843;79.9237;76.2871;75.0978;
20-07-21;00:00;63.2919;84.3324;82.3837;64.9957;
20-07-22;00:00;49.9781;60.4925;64.6631;52.0753;
20-07-23;00:00;46.5097;60.9111;57.1005;48.9351;
20-07-24;00:00;44.9801;61.3269;60.192;49.9011;
20-07-25;00:00;55.7976;63.2215;67.9753;58.226;
20-07-26;00:00;63.9346;62.7789;74.666;69.2887;
20-07-27;00:00;69.3262;73.1326;74.5143;73.1454;
20-07-28;00:00;82.4338;83.6339;86.9847;85.1926;
20-07-29;00:00;71.0874;77.8667;80.6299;75.2383;
20-07-30;00:00;78.8787;82.9338;85.4393;81.0514;
20-07-31;00:00;73.3486;80.8333;82.7318;75.6028;
20-08-01;00:00;59.3632;68.173;68.5233;62.7273;
20-08-02;00:00;65.2659;69.9113;69.1812;68.949;
20-08-03;00:00;59.9479;69.2898;69.9598;62.5991;
20-08-04;00:00;54.2037;66.2013;74.8624;57.4646;
20-08-05;00:00;57.1178;66.312;68.3201;60.614;
20-08-06;00:00;70.115;76.33;77.7814;71.8865;
20-08-07;00:00;52.9733;61.6966;67.2961;59.2037;
20-08-08;00:00;51.5511;57.4033;63.9413;55.4205;
20-08-09;00:00;62.5063;68.3147;76.6089;63.6874;
20-08-10;00:00;53.3419;63.1744;68.4698;53.5999;
20-08-11;00:00;60.1997;66.2499;73.2571;63.1055;
20-08-12;00:00;54.856;58.8558;67.5128;62.6471;
20-08-13;00:00;62.7037;73.9036;80.7825;63.913;
20-08-14;00:00;64.7085;69.2388;79.428;68.9835;
20-08-15;00:00;49.3859;57.7606;68.0615;53.5476;
20-08-16;00:00;54.4376;65.1169;69.5984;57.033;
20-08-17;00:00;71.6582;71.5233;82.2075;74.3325;
